Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
0 -47 -46 -68 -109 -62 -58 -53 -55 -50 37 0 0
1 -44 -50 -67 -107 -60 -60 -57 -60 -47 32 1 0
2 -48 -49 -63 -107 -63 -51 -56 -56 -48 35 2 0
3 -51 -48 -71 -106 -63 -70 -47 -52 -51 34 3 0
4 -45 -49 -66 -105 -62 -58 -57 -55 -49 34 4 0
5 -40 -43 -63 -109 -61 -53 -50 -66 -48 35 5 0
6 -46 -45 -67 -108 -59 -53 -54 -59 -52 42 6 0
7 -38 -48 -67 -109 -70 -51 -47 -63 -64 37 7 0
8 -34 -48 -69 -108 -59 -47 -45 -51 -50 32 8 0
9 -37 -44 -67 -108 -63 -50 -48 -54 -52 31 9 0
10 -34 -50 -74 -107 -74 -51 -45 -55 -51 31 10 0	
11 -29 -50 -60 -103 -63 -46 -45 -50 -54 35 11 0
12 -42 -54 -62 -105 -67 -53 -60 -51 -52 33 12 0	
13 -41 -59 -92 -110 -66 -49 -52 -47 -63 29 13 0
14 -46 -56 -69 -106 -65 -50 -49 -50 -55 27 14 0
15 -37 -56 -54 -96 -69 -44 -52 -44 -58 28 15 0
16 -40 -56 -58 -94 -73 -42 -51 -50 -62 33 16 0
17 -44 -62 -60 -94 -65 -40 -54 -52 -64 42 17 0
18 -47 -60 -64 -101 -68 -46 -55 -40 -63 45 18 0
19 -49 -55 -59 -96 -79 -51 -65 -43 -63 43 19 0	
20 -56 -60 -63 -95 -82 -57 -64 -46 -60 41 20 0
21 -55 -58 -58 -83 -75 -57 -62 -49 -61 35 21 0	
22 -52 -56 -66 -83 -76 -56 -64 -44 -63 39 22 0	
23 -56 -59 -68 -87 -81 -55 -73 -50 -60 31 23 0	
24 -61 -59 -74 -85 -81 -62 -61 -52 -64 22 24 0
25 -61 -64 -72 -85 -80 -61 -62 -53 -68 19 25 0	
26 -52 -40 -71 -110 -61 -62 -60 -59 -54 31 0 1
27 -49 -51 -66 -110 -68 -61 -61 -67 -48 24 1 1	
28 -52 -51 -69 -110 -69 -60 -60 -64 -62 24 2 1
29 -46 -48 -63 -104 -58 -59 -58 -58 -52 38 3 1
30 -48 -48 -62 -108 -52 -61 -49 -62 -51 30 4 1
31 -41 -42 -63 -104 -58 -62 -51 -53 -44 34 5 1
32 -43 -50 -71 -109 -68 -58 -49 -51 -56 51 6 1
33 -39 -45 -61 -110 -69 -63 -44 -61 -48 73 7 1
34 -38 -46 -75 -106 -67 -53 -48 -57 -51 37 8 1
35 -31 -51 -65 -106 -61 -49 -43 -59 -51 27 9 1
36 -29 -56 -60 -98 -73 -50 -42 -60 -51 28 10 1
37 -35 -55 -60 -101 -64 -57 -40 -51 -58 30 11 1
38 -33 -49 -64 -102 -60 -40 -45 -56 -55 30 12 1
39 -35 -56 -65 -103 -71 -50 -52 -56 -58 35 13 1
40 -38 -58 -57 -87 -70 -47 -52 -52 -54 35 14 1
41 -53 -61 -53 -87 -80 -50 -63 -45 -60 35 15 1
42 -47 -60 -60 -103 -75 -56 -57 -60 -68 77 16 1
43 -45 -58 -60 -91 -65 -38 -57 -45 -64 71 17 1
44 -50 -61 -59 -82 -66 -51 -57 -49 -62 42 18 1
45 -51 -67 -65 -82 -72 -50 -55 -46 -62 39 19 1
46 -52 -55 -63 -86 -80 -54 -65 -43 -63 34 20 1
47 -54 -60 -66 -79 -77 -56 -56 -54 -64 47 21 1
48 -55 -62 -64 -89 -73 -52 -63 -52 -66 8 22 1
49 -56 -63 -75 -80 -77 -59 -63 -52 -64 22 23 1
50 -64 -54 -66 -83 -82 -57 -69 -52 -68 24 24 1
51 -64 -63 -67 -77 -77 -56 -64 -59 -64 23 25 1
52 -53 -44 -64 -108 -64 -62 -51 -66 -52 30 0 2	
53 -48 -43 -62 -109 -61 -54 -55 -58 -42 20 1 2
54 -48 -40 -65 -109 -61 -56 -55 -59 -43 48 2 2
55 -48 -43 -62 -104 -70 -64 -63 -53 -43 21 3 2
